player,nationality,position,team,age,games,games_starts,minutes,goals,assists,pens_made,xg,xg_assist
Matías Vecino,uy URU,MF,it Lazio,31,6,6,469,1,0,0,0.6,0.1
Joey Veerman,nl NED,MF,nl PSV Eindhoven,24,7,7,576,0,0,0,0.4,1.0
Arthur Vermeeren,be BEL,MF,be Antwerp,18,6,6,540,1,2,0,0.5,0.6
Yorbe Vertessen,be BEL,FW,nl PSV Eindhoven,22,5,1,161,1,1,0,0.4,0.1
Fabio Vieira,pt POR,FW,eng Arsenal,23,3,0,89,0,0,0,0.0,0.1
Vitinha,pt POR,MF,fr Paris S-G,23,12,10,914,2,1,0,1.3,2.1
Kevin Volland,de GER,"FW,MF",de Union Berlin,31,5,2,235,1,0,0,0.7,0.4
Stefan de Vrij,nl NED,DF,it Inter,31,6,5,496,0,0,0,0.0,0.1
Elye Wahi,fr FRA,FW,fr Lens,20,6,6,455,2,1,0,1.1,0.1
Kyle Walker,eng ENG,DF,eng Manchester City,33,6,6,503,0,0,0,0.2,0.3
Aaron Wan-Bissaka,eng ENG,DF,eng Manchester Utd,25,3,2,212,0,1,0,0.0,0.5
Timon Wellenreuther,de GER,GK,nl Feyenoord,27,2,2,180,0,0,0,0.0,0.0
Stephen Welsh,sct SCO,DF,sct Celtic,23,1,1,74,0,0,0,0.0,0.0
Wendell,br BRA,DF,pt Porto,30,5,4,387,0,0,0,0.1,0.0
Timo Werner,de GER,"FW,MF",de RB Leipzig,27,4,0,50,0,0,0,0.1,0.0
Ben White,eng ENG,DF,eng Arsenal,25,10,7,754,0,1,0,0.6,0.7
Mats Wieffer,nl NED,MF,nl Feyenoord,23,6,5,469,1,1,0,0.6,0.2
Owen Wijndal,nl NED,DF,be Antwerp,23,6,5,451,0,0,0,0.0,0.0
Joe Willock,eng ENG,MF,eng Newcastle Utd,23,2,1,101,0,0,0,0.0,0.0
Callum Wilson,eng ENG,FW,eng Newcastle Utd,31,4,2,239,0,0,0,0.8,0.1
Axel Witsel,be BEL,"DF,MF",es Atlético Madrid,34,10,10,885,0,0,0,0.2,0.1
Marius Wolf,de GER,"DF,FW",de Dortmund,28,6,3,285,0,0,0,0.2,0.4
Jacob Wright,eng ENG,FW,eng Manchester City,17,1,0,3,0,0,0,0.0,0.0
Lamine Yamal,es ESP,FW,es Barcelona,16,10,7,577,0,2,0,1.7,2.1
Alhassan Yusuf,ng NGA,MF,be Antwerp,23,6,4,380,1,1,0,0.2,0.2
Mattia Zaccagni,it ITA,FW,it Lazio,28,6,6,460,0,0,0,0.2,0.1
Wilfried Zaha,ci CIV,FW,tr Galatasaray,30,6,5,399,1,1,0,0.8,0.3
Warren Zaïre-Emery,fr FRA,MF,fr Paris S-G,17,11,10,904,1,3,0,0.7,1.3
Arsen Zakharyan,ru RUS,"FW,MF",es Real Sociedad,20,5,2,219,0,0,0,0.3,0.1
Rodrigo Zalazar,uy URU,MF,pt Braga,23,6,5,395,0,1,0,0.1,1.2
Andre-Frank Zambo Anguissa,cm CMR,MF,it Napoli,27,7,7,627,1,1,0,1.0,0.6
Alessandro Zanoli,it ITA,DF,it Napoli,22,1,0,4,0,0,0,0.0,0.0
Ramiz Zerrouki,dz ALG,MF,nl Feyenoord,25,5,4,353,1,0,0,0.1,0.1
Piotr Zieliński,pl POL,MF,it Napoli,29,6,6,466,1,0,1,2.0,0.6
Oleksandr Zinchenko,ua UKR,DF,eng Arsenal,26,6,3,278,0,0,0,0.1,0.2
Hakim Ziyech,ma MAR,FW,tr Galatasaray,30,5,3,249,2,1,0,0.2,0.5
Igor Zubeldia,es ESP,DF,es Real Sociedad,26,8,8,692,0,0,0,0.1,0.1
Martín Zubimendi,es ESP,MF,es Real Sociedad,24,8,8,712,0,0,0,0.6,0.2
Oleksandr Zubkov,ua UKR,"FW,MF",ua Shakhtar,26,6,6,535,0,2,0,0.4,2.0
Martin Ødegaard,no NOR,MF,eng Arsenal,24,9,8,750,2,1,0,1.3,0.9
Łukasz Łakomy,pl POL,MF,ch Young Boys,22,1,0,21,0,0,0,0.0,0.0
