player,nationality,position,team,age,games,games_starts,minutes,goals,assists,pens_made,xg,xg_assist
Ben White,eng ENG,DF,eng Arsenal,26,9,4,335,0,0,0,0.1,0.2
Tomáš Wiesner,cz CZE,"DF,MF",cz Sparta Prague,27,7,6,505,0,0,0,0.2,0.2
Kevin Wimmer,at AUT,DF,sk Slovan Bratislava,31,5,5,450,1,0,0,0.2,0.0
Florian Wirtz,de GER,"MF,FW",de Leverkusen,21,9,9,759,6,1,1,3.6,2.2
Axel Witsel,be BEL,DF,es Atlético Madrid,35,4,3,271,0,0,0,0.0,0.0
Gregory Wüthrich,ch SUI,DF,at Sturm Graz,29,4,4,279,0,0,0,0.0,0.0
Granit Xhaka,ch SUI,MF,de Leverkusen,31,10,9,818,0,0,0,0.5,0.7
Antal Yaakobishvili,hu HUN,DF,es Girona,20,1,1,90,0,0,0,0.0,0.0
Malick Yalcouye,ci CIV,"MF,FW",at Sturm Graz,18,8,7,618,0,0,0,0.2,0.3
Lamine Yamal,es ESP,FW,es Barcelona,17,13,13,"1,094",5,3,0,4.2,2.1
Erencan Yardimci,tr TUR,FW,at Sturm Graz,22,5,0,101,0,0,0,0.1,0.0
Kenan Yıldız,tr TUR,"FW,MF",it Juventus,19,10,8,665,1,1,0,0.6,0.3
Seol Young-woo,kr KOR,DF,rs Red Star,25,8,8,700,0,3,0,0.2,0.5
Dan-Axel Zagadou,fr FRA,DF,de Stuttgart,25,1,0,2,0,0,0,0.0,0.0
Danijel Zagorac,hr CRO,GK,hr Dinamo Zagreb,37,3,3,270,0,0,0,0.0,0.0
Warren Zaïre-Emery,fr FRA,MF,fr Paris S-G,18,13,6,605,1,0,0,1.2,0.4
Denis Zakaria,ch SUI,MF,fr Monaco,27,7,7,613,1,0,1,0.9,0.1
Nicola Zalewski,pl POL,"MF,DF",it Inter,22,2,0,38,0,0,0,0.1,0.0
Nicolò Zaniolo,it ITA,"FW,MF",it Atalanta,25,7,0,133,1,0,0,1.0,0.1
Davide Zappacosta,it ITA,DF,it Atalanta,32,9,8,697,0,5,0,1.1,3.3
Gjivai Zechiël,nl NED,MF,nl Feyenoord,20,2,0,46,0,0,0,0.0,0.0
Jaroslav Zelený,cz CZE,DF,cz Sparta Prague,31,5,3,298,0,0,0,0.1,0.1
Ramiz Zerrouki,dz ALG,MF,nl Feyenoord,26,4,1,114,0,0,0,0.1,0.0
Edon Zhegrova,xk KVX,"FW,MF",fr Lille,25,5,3,363,1,1,0,0.4,0.8
Piotr Zieliński,pl POL,MF,it Inter,30,10,6,588,0,1,0,1.4,0.7
Oleksandr Zinchenko,ua UKR,"DF,MF",eng Arsenal,27,6,2,194,1,0,0,0.2,0.6
Luck Zogbé,ci CIV,DF,fr Brest,19,1,1,90,0,0,0,0.0,0.2
Tanguy Zoukrou,fr FRA,DF,ch Young Boys,21,3,3,270,0,0,0,0.0,0.0
Oleksandr Zubkov,ua UKR,"FW,MF",ua Shakhtar,27,8,7,532,2,1,0,1.3,1.0
Lovro Zvonarek,hr CRO,"MF,FW",at Sturm Graz,19,6,0,140,0,0,0,0.3,0.1
Martin Ødegaard,no NOR,MF,eng Arsenal,25,11,9,797,3,1,0,1.9,1.5
Łukasz Łakomy,pl POL,MF,ch Young Boys,23,7,5,444,1,0,0,0.3,0.2
